,Rut,NEMScr,Ranking,LangScr,MathScr,ScienScr,SchoolRegion,EdTypeCode,SchoolType,MotherEd,Campus,PostulationType,S1_INS,S1_DRP,S1_BAD,S1_CVL,S1_DID,S1_APVD,S1_RPVD,S1_GRD_1TO19,S1_GRD_2TO29,S1_GRD_3TO39,S1_GRD_4TO49,S1_GRD_5TO59,S1_GRD_6TO7,S1_BEST_GRD,S1_WORST_GRD,S1_AVG_PERF,S2_INS,S2_DRP,S2_BAD,S2_CVL,S2_DID,S2_APVD,S2_RPVD,S2_GRD_1TO19,S2_GRD_2TO29,S2_GRD_3TO39,S2_GRD_4TO49,S2_GRD_5TO59,S2_GRD_6TO7,S2_BEST_GRD,S2_WORST_GRD,S2_AVG_PERF,S2_VS_S1,Desertor
count,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537,537,537,537,537,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0
unique,,,,,,,,3,5,8,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,,,,,,,HCD,PSS,0.0,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,,,,,,,498,327,213,479,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,19353969.27932961,528.1359404096834,540.9739292364991,544.1005586592179,596.9925512104284,550.6666666666666,11.74487895716946,,,,,,6.709497206703911,0.36685288640595903,0.4059590316573557,0.6052141527001862,5.33147113594041,3.458100558659218,1.8733705772811917,0.22160148975791433,0.6108007448789572,1.0409683426443204,1.500931098696462,1.2420856610800746,0.7150837988826816,54.54562383612663,29.441340782122904,40.29690875232773,6.616387337057728,0.9459962756052142,0.9497206703910615,0.17318435754189945,4.5474860335195535,2.8491620111731844,1.696461824953445,0.2309124767225326,0.590316573556797,0.8752327746741154,1.2458100558659218,1.1582867783985102,0.4450651769087523,44.75046554934823,24.60335195530726,33.86532588454377,-6.431582867783989,0.29608938547486036
std,643105.6772748344,74.97505899165677,92.0189349735916,60.06614155768306,46.39938501194436,56.47766255927371,2.6351698581337915,,,,,,3.793327203996297,1.4054332081500513,1.107556247601925,3.36141000764567,1.5770024807395226,2.1051231318658914,1.7531364214011214,0.6892422601176622,0.9179566004435921,1.1222800423240724,1.4077673220139486,1.3648908326990157,0.9012924190744475,16.55639008485301,12.606442489013311,13.639214526102538,2.3779835115141936,1.6123554499554487,1.6992329580460632,0.788080341418926,2.479407392690386,2.3786919940241846,1.7701522393565192,0.5621235936069243,0.950127295264245,1.1351249157895384,1.3642237641894723,1.373758342929679,0.8337890301889624,23.21944961164957,15.312814965781767,18.104690967118728,13.057176170294024,0.4569565684265475
min,14784994.0,348.0,348.0,355.0,389.0,300.0,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.83,0.0
25%,19185662.0,477.0,482.0,505.0,568.0,518.0,13.0,,,,,,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,22.0,35.83,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,15.0,27.5,-11.07,0.0
50%,19475212.0,523.0,527.0,543.0,597.0,554.0,13.0,,,,,,6.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,60.0,30.0,42.5,7.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,56.0,26.0,39.0,-3.8299999999999983,0.0
75%,19643494.0,577.0,595.0,582.0,624.0,583.0,13.0,,,,,,6.0,0.0,0.0,0.0,6.0,5.0,3.0,0.0,1.0,2.0,3.0,2.0,1.0,64.0,38.0,48.83,8.0,1.0,1.0,0.0,6.0,5.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,61.0,36.0,46.86,1.3299999999999983,1.0
max,23801167.0,807.0,850.0,746.0,762.0,696.0,15.0,,,,,,38.0,10.0,8.0,33.0,8.0,7.0,6.0,6.0,4.0,5.0,6.0,7.0,6.0,70.0,60.0,65.17,14.0,10.0,7.0,7.0,8.0,8.0,7.0,3.0,7.0,5.0,6.0,6.0,6.0,70.0,62.0,64.71,62.0,1.0
